time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-07-11 14:06:00-04:00,EnhancedElliottWaveStrategy,1e52ec08570446a997b1ed18c13ba5df,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:06:00-04:00,EnhancedElliottWaveStrategy,1e52ec08570446a997b1ed18c13ba5df,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57802.296875,0.017271838297476527,0.0
2024-07-11 14:07:00-04:00,EnhancedElliottWaveStrategy,11cbc7e01a634414bc5a77642d93243b,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:07:00-04:00,EnhancedElliottWaveStrategy,11cbc7e01a634414bc5a77642d93243b,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57802.296875,0.017300550089629458,0.0
2024-07-11 14:18:00-04:00,EnhancedElliottWaveStrategy,b2e9294e27e54a2cb29d88565a5a830d,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:18:00-04:00,EnhancedElliottWaveStrategy,b2e9294e27e54a2cb29d88565a5a830d,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57811.5078125,0.01729729864210279,0.0
2024-07-11 14:21:00-04:00,EnhancedElliottWaveStrategy,bfde05cd65694ce78fc61ce1c3091203,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:21:00-04:00,EnhancedElliottWaveStrategy,bfde05cd65694ce78fc61ce1c3091203,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57834.796875,3.2514475266677556e-06,0.0
2024-07-11 14:22:00-04:00,EnhancedElliottWaveStrategy,98a410a74ed9437883f8f85e3c7ff368,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:22:00-04:00,EnhancedElliottWaveStrategy,98a410a74ed9437883f8f85e3c7ff368,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57903.671875,0.017264546564629675,0.0
2024-07-11 14:25:00-04:00,EnhancedElliottWaveStrategy,558dadec2b8e4cf6947ac13021f1bbd7,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:25:00-04:00,EnhancedElliottWaveStrategy,558dadec2b8e4cf6947ac13021f1bbd7,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57905.265625,0.01726397635759855,0.0
2024-07-11 14:33:00-04:00,EnhancedElliottWaveStrategy,200e2251c13e4e43b4f69009d23660f8,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:33:00-04:00,EnhancedElliottWaveStrategy,200e2251c13e4e43b4f69009d23660f8,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57826.3203125,0.01726397635759855,0.0
2024-07-11 14:34:00-04:00,EnhancedElliottWaveStrategy,9bb8ea899f7048b5848dfd0619244712,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:34:00-04:00,EnhancedElliottWaveStrategy,9bb8ea899f7048b5848dfd0619244712,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57844.8828125,0.01728536605230593,0.0
2024-07-11 14:35:00-04:00,EnhancedElliottWaveStrategy,abee1a1697064a50a6dc313d2c3d3bd3,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:35:00-04:00,EnhancedElliottWaveStrategy,abee1a1697064a50a6dc313d2c3d3bd3,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57840.28515625,0.01728536605230593,0.0
2024-07-11 14:36:00-04:00,EnhancedElliottWaveStrategy,4206d2af4b4d40a5935ae34ee437d458,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:36:00-04:00,EnhancedElliottWaveStrategy,4206d2af4b4d40a5935ae34ee437d458,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57840.28515625,0.017287000757500184,0.0
2024-07-11 14:43:00-04:00,EnhancedElliottWaveStrategy,dd0f085808b24a71936e4659095e227d,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:43:00-04:00,EnhancedElliottWaveStrategy,dd0f085808b24a71936e4659095e227d,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57897.34765625,0.017266730750284506,0.0
2024-07-11 14:44:00-04:00,EnhancedElliottWaveStrategy,79595126629f47829939552ac2b236a4,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:44:00-04:00,EnhancedElliottWaveStrategy,79595126629f47829939552ac2b236a4,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57912.05078125,2.027000721567876e-05,0.0
2024-07-11 14:45:00-04:00,EnhancedElliottWaveStrategy,f57037c948d049d88c4a45cbccb29721,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:45:00-04:00,EnhancedElliottWaveStrategy,f57037c948d049d88c4a45cbccb29721,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57912.05078125,0.01726147048271772,0.0
2024-07-11 14:53:00-04:00,EnhancedElliottWaveStrategy,65ab24b4dc6840bcb53d4275e62265c8,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 14:53:00-04:00,EnhancedElliottWaveStrategy,65ab24b4dc6840bcb53d4275e62265c8,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57794.35546875,0.01730400480344421,0.0
2024-07-11 15:00:00-04:00,EnhancedElliottWaveStrategy,05c8dd1b2b6147d9aa645e69b772d7c9,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 15:00:00-04:00,EnhancedElliottWaveStrategy,05c8dd1b2b6147d9aa645e69b772d7c9,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57828.8125,0.017291637423164263,0.0
2024-07-11 15:01:00-04:00,EnhancedElliottWaveStrategy,8f8f1d52455248fa84f51281e54df511,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 15:01:00-04:00,EnhancedElliottWaveStrategy,8f8f1d52455248fa84f51281e54df511,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57828.8125,1.2367380279945661e-05,0.0
2024-07-11 15:02:00-04:00,EnhancedElliottWaveStrategy,990fa1e983f9403f9d42c506d99b32c2,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 15:02:00-04:00,EnhancedElliottWaveStrategy,990fa1e983f9403f9d42c506d99b32c2,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57828.8125,0.017291637415683563,0.0
2024-07-11 15:03:00-04:00,EnhancedElliottWaveStrategy,0b8cf7c2f89b4206a0d59a19b4cc3459,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
